,0.0989000000000000,0.117352500000000,0.135805000000000,0.154257500000000,0.172710000000000,0.191162500000000,0.209615000000000,0.228067500000000,0.246520000000000,0.264972500000000,0.283425000000000,0.301877500000000,0.320330000000000,0.338782500000000,0.357235000000000,0.375687500000000,0.394140000000000,0.412592500000000,0.431045000000000,0.449497500000000,0.467950000000000,0.486402500000000,0.504855000000000,0.523307500000000,0.541760000000000,0.560212500000000,0.578665000000000,0.597117500000000,0.615570000000000,0.634022500000000,0.652475000000000,0.670927500000000,0.689380000000000,0.707832500000000,0.726285000000000,0.744737500000000,0.763190000000000,0.781642500000000,0.800095000000000,0.818547500000000,0.837000000000000
1E-6,0.0085644,0.0215972,0.0355948,0.0358144,0.0408868,0.0425152,0.0380892,0.02618,0.0336784,0.0288976,0.0293732,0.0372028,0.0451088,0.0606364,0.072704,0.093648,0.1052652,0.1237468,0.1255876,0.152194,0.1408832,0.1259656,0.1376924,0.1442024,0.1308484,0.1505516,0.1678124,0.1553784,0.1481004,0.1411356,0.124856,0.1106076,0.0931552,0.073612,0.0608852,0.0484124,0.037658,0.032148,0.0276348,0.0191016,0.0137752
1.00850850850851E-6,0.0117348,0.0294904,0.0485432,0.0488456,0.0557532,0.0579832,0.0519656,0.0358008,0.0459752,0.0394708,0.040128,0.050734,0.0614592,0.0824784,0.0988468,0.1272068,0.1429116,0.1679284,0.1704104,0.2063168,0.1910312,0.170858,0.18658,0.1952396,0.177152,0.2036388,0.226816,0.2099744,0.2000888,0.1906168,0.168608,0.1493588,0.1257816,0.0994116,0.0822024,0.0653424,0.0508136,0.0433556,0.0372536,0.0257504,0.018566
1.01701701701702E-6,0.0150724,0.0377452,0.062052,0.0624432,0.0712608,0.0741232,0.0664568,0.045894,0.0588352,0.0505408,0.0513928,0.0648604,0.0784996,0.1051712,0.125984,0.1619832,0.1818864,0.2136308,0.2167704,0.2621944,0.2428304,0.217258,0.2370164,0.2478124,0.224848,0.2582244,0.287398,0.2660136,0.253426,0.24135,0.2134568,0.1890768,0.1592172,0.1258604,0.1040444,0.0826792,0.0642788,0.0548148,0.0470808,0.0325436,0.0234588
1.02552552552553E-6,0.0158808,0.0395096,0.064798,0.0652156,0.0743988,0.0774116,0.0694572,0.0481808,0.0615688,0.0529468,0.0538592,0.0677468,0.081852,0.1093188,0.130836,0.1679332,0.1883808,0.2210712,0.2242848,0.2707912,0.2509144,0.2246308,0.2446008,0.2553392,0.2316644,0.265576,0.2951528,0.273104,0.2600556,0.247508,0.2188508,0.1938344,0.1631984,0.1290536,0.1066284,0.0846824,0.0658028,0.056056,0.048108,0.0332544,0.0239608
1.03403403403403E-6,0.0167176,0.0413168,0.0676004,0.0680464,0.0776032,0.0807732,0.0725356,0.0505468,0.0643896,0.0554356,0.0564128,0.0707252,0.085304,0.113576,0.1358104,0.1740212,0.1950216,0.2286728,0.2319676,0.2795632,0.259172,0.2321736,0.2523496,0.2630208,0.2386284,0.2730688,0.303042,0.2803188,0.2667996,0.2537684,0.2243352,0.1986712,0.1672448,0.1323,0.109254,0.0867172,0.0673508,0.0573156,0.0491496,0.0339752,0.0244696
1.04254254254254E-6,0.017584,0.0431672,0.0704592,0.0709372,0.0808748,0.0842084,0.0756928,0.0529932,0.0672984,0.0580084,0.0590548,0.0737972,0.0888576,0.117944,0.140908,0.1802472,0.2018096,0.236436,0.23982,0.288512,0.2676056,0.2398888,0.2602656,0.2708592,0.2457416,0.2807036,0.311066,0.2876576,0.273658,0.2601312,0.2299108,0.2035872,0.1713572,0.1356004,0.111922,0.0887836,0.0689224,0.0585928,0.0502052,0.0347056,0.0249848
1.05105105105105E-6,0.0184804,0.0450608,0.0733728,0.073886,0.0842116,0.0877152,0.0789272,0.0555208,0.0702964,0.0606668,0.0617868,0.0769648,0.0925148,0.1224248,0.1461312,0.1866144,0.2087476,0.2443632,0.247844,0.297638,0.2762156,0.2477768,0.2683484,0.2788544,0.2530052,0.2884812,0.3192256,0.295122,0.2806316,0.2665968,0.2355776,0.2085824,0.1755352,0.1389552,0.114632,0.090882,0.0705184,0.0598884,0.0512744,0.0354456,0.025506
1.05955955955956E-6,0.019408,0.0469976,0.0763416,0.0768932,0.0876136,0.0912944,0.0822416,0.0581324,0.073386,0.0634136,0.0646116,0.08023,0.0962776,0.1270204,0.1514812,0.1931228,0.2158352,0.252454,0.25604,0.306942,0.2850036,0.2558408,0.2766008,0.2870084,0.2604212,0.2964032,0.3275208,0.302712,0.2877212,0.2731656,0.241336,0.213658,0.1797796,0.1423644,0.1173852,0.0930128,0.0721384,0.0612024,0.0523576,0.0361948,0.0260332
1.06806806806807E-6,0.0203672,0.048978,0.0793648,0.079958,0.0910804,0.0949452,0.0856348,0.0608288,0.0765672,0.0662488,0.06753,0.083594,0.1001464,0.1317312,0.1569588,0.1997732,0.2230736,0.2607096,0.26441,0.3164252,0.2939712,0.264082,0.2850244,0.2953228,0.2679916,0.3044704,0.3359532,0.3104288,0.2949272,0.279838,0.2471864,0.2188136,0.1840904,0.145828,0.1201804,0.0951752,0.073782,0.0625344,0.0534548,0.036954,0.0265672
